"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Unique_hue","Seed","Dif","RHAD","Error_rate_hue","Error_rate_sat"
"518","qtjv",4,"seed grass green","English","29","female","Estonian",39680,"2","Naming transmission","0",11,"seed grass green",50,50,42,43,121,121,136.5,117.98,15.5,83.6933045356372,0,1
"519","qtjv",4,"seed ocean blue","English","29","female","Estonian",61270,"2","Naming transmission","0",11,"seed ocean blue",50,50,66,69,192,191,193.6,179.34,2.59999999999999,18.2328190743338,1,3
"520","qtjv",3,"seed dark rose","English","29","female","Estonian",40720,"2","Naming transmission","0",11,"seed dark rose",50,50,56,81,306,295,372.2,327.55,77.2,172.900335946249,11,25
"521","qvhj",5,"seed dark rose","Danish","30","male","Danskfransk",12584,"2","Naming transmission","2",2,"seed mørk rosa",50,50,61,62,318,317,372.2,327.55,55.2,123.628219484882,1,1
"522","qvhj",5,"seed mustard","Danish","30","male","Danskfransk",11566,"2","Naming transmission","2",2,"seed sennepsgul",50,50,74,60,47,43,62.4,49.85,19.4,154.581673306773,4,14
"523","qvhj",4,"seed ocean blue","Danish","30","male","Danskfransk",10249,"2","Naming transmission","2",2,"seed havblå",50,50,65,55,176,180,193.6,179.34,13.6,95.3716690042076,4,10
"524","qvhj",5,"seed grass green","Danish","30","male","Danskfransk",17128,"2","Naming transmission","2",2,"seed græsgrøn",50,50,53,57,103,96,136.5,117.98,40.5,218.682505399568,7,4
"525","r6m7",4,"seed dark rose","Danish","35","male","dansk",14377,"2","Naming transmission","3",11,"seed mørk rosa",50,50,46,66,313,296,372.2,327.55,76.2,170.660694288914,17,20
"526","r6m7",4,"seed ocean blue","Danish","35","male","dansk",18734,"2","Naming transmission","3",11,"seed havblå",50,50,61,54,180,181,193.6,179.34,12.6,88.35904628331,1,7
"527","r6m7",3,"seed grass green","Danish","35","male","dansk",11486,"2","Naming transmission","3",11,"seed græsgrøn",50,50,50,56,105,128,136.5,117.98,8.5,45.8963282937365,23,6
"528","r6m7",2,"seed mustard","Danish","35","male","dansk",10393,"2","Naming transmission","3",11,"seed sennepsgul",50,50,40,40,47,53,62.4,49.85,9.4,74.9003984063745,6,0
"529","r8j7",4,"seed mustard","Danish","22","female","Dansk",8358,"2","Naming transmission","4",5,"seed sennepsgul",50,50,54,52,64,72,62.4,49.85,-9.6,-76.4940239043825,8,2
"530","r8j7",5,"seed ocean blue","Danish","22","female","Dansk",12403,"2","Naming transmission","4",5,"seed havblå",50,50,53,55,188,184,193.6,179.34,9.59999999999999,67.3211781206171,4,2
"531","r8j7",6,"seed grass green","Danish","22","female","Dansk",6236,"2","Naming transmission","4",5,"seed græsgrøn",50,50,85,85,110,108,136.5,117.98,28.5,153.887688984881,2,0
"532","r8j7",6,"seed dark rose","Danish","22","female","Dansk",4727,"2","Naming transmission","4",5,"seed mørk rosa",50,50,61,80,300,300,372.2,327.55,72.2,161.702127659575,0,19
"533","rd5a",6,"seed grass green","English","29","male","EnglishandArabic",5653,"1","Pure transmission","0",7,"seed grass green",50,50,66,73,120,112,136.5,117.98,24.5,132.289416846652,8,7
"534","rd5a",6,"seed mustard","English","29","male","EnglishandArabic",11443,"1","Pure transmission","0",7,"seed mustard",50,50,62,59,38,24,62.4,49.85,38.4,305.97609561753,14,3
"535","rd5a",6,"seed dark rose","English","29","male","EnglishandArabic",3357,"1","Pure transmission","0",7,"seed dark rose",50,50,81,66,310,311,372.2,327.55,61.2,137.066069428891,1,15
"536","rd5a",6,"seed ocean blue","English","29","male","EnglishandArabic",3513,"1","Pure transmission","0",7,"seed ocean blue",50,50,56,69,183,182,193.6,179.34,11.6,81.3464235624124,1,13
"537","sfda",5,"seed dark rose","Danish","26","female","Dansk",26421,"1","Pure transmission","3",1,"seed mørk rosa",50,50,65,69,325,324,372.2,327.55,48.2,107.950727883539,1,4
"538","sfda",5,"seed ocean blue","Danish","26","female","Dansk",19260,"1","Pure transmission","3",1,"seed havblå",50,50,85,72,184,183,193.6,179.34,10.6,74.3338008415147,1,13
"539","sfda",5,"seed mustard","Danish","26","female","Dansk",13303,"1","Pure transmission","3",1,"seed sennepsgul",50,50,65,63,47,48,62.4,49.85,14.4,114.741035856574,1,2
"540","sfda",5,"seed grass green","Danish","26","female","Dansk",31478,"1","Pure transmission","3",1,"seed græsgrøn",50,50,59,51,129,127,136.5,117.98,9.5,51.2958963282938,2,8
"541","sfry",6,"seed mustard","Danish","20","female","Dansk",2533,"2","Naming transmission","3",13,"seed sennepsgul",50,50,46,48,59,58,62.4,49.85,4.4,35.0597609561753,1,2
"542","sfry",4,"seed grass green","Danish","20","female","Dansk",5897,"2","Naming transmission","3",13,"seed græsgrøn",50,50,69,63,111,95,136.5,117.98,41.5,224.082073434125,16,6
"543","sfry",5,"seed ocean blue","Danish","20","female","Dansk",6370,"2","Naming transmission","3",13,"seed havblå",50,50,65,59,182,182,193.6,179.34,11.6,81.3464235624124,0,6
"544","sfry",4,"seed dark rose","Danish","20","female","Dansk",2435,"2","Naming transmission","3",13,"seed mørk rosa",50,50,54,54,300,307,372.2,327.55,65.2,146.024636058231,7,0
"545","sm07",6,"seed grass green","Danish","22","male","Dansk",5076,"2","Naming transmission","3",0,"seed græsgrøn",50,50,60,55,117.98,132,136.5,117.98,4.5,24.2980561555076,14.02,5
"546","sm07",6,"seed ocean blue","Danish","22","male","Dansk",9139,"2","Naming transmission","3",0,"seed havblå",50,50,60,69,179.34,180,193.6,179.34,13.6,95.3716690042076,0.659999999999997,9
"547","sm07",4,"seed mustard","Danish","22","male","Dansk",8246,"2","Naming transmission","3",0,"seed sennepsgul",50,50,60,44,49.85,51,62.4,49.85,11.4,90.8366533864542,1.15,16
