"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Focal","Seed","Secondary_focal","Dif","Dif_2","Rel_dif","Rel_dif_2","Accuracy_hue","Accuracy_sat"
"166","839z",5,"seed ocean blue","Danish","23","male","Dansk",19681,"2","Naming transmission","0",3,"seed havblå",50,50,29,35,180,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,0,6
"167","839z",5,"seed mustard","Danish","23","male","Dansk",8608,"2","Naming transmission","0",3,"seed sennepsgul",50,50,37,37,49,53,62.4,49.85,26,9.4,27,74.9003984063745,113.207547169811,4,0
"168","839z",5,"seed grass green","Danish","23","male","Dansk",9104,"2","Naming transmission","0",3,"seed græsgrøn",50,50,34,36,113,115,136.5,117.98,62.4,21.5,52.6,116.090712742981,94.6383591219863,2,2
"169","88a9",5,"seed ocean blue","English","26","male","Greek",24862,"2","Naming transmission","0",10,"seed ocean blue",50,50,77,66,189,192,193.6,179.34,136.5,1.59999999999999,55.5,11.2201963534362,129.551820728291,3,11
"170","88a9",5,"seed mustard","English","26","male","Greek",30605,"2","Naming transmission","0",10,"seed mustard",50,50,55,35,45,43,62.4,49.85,26,19.4,17,154.581673306773,71.2788259958071,2,20
"171","88a9",6,"seed dark rose","English","26","male","Greek",8071,"2","Naming transmission","0",10,"seed dark rose",50,50,64,56,308,306,372.2,327.55,278,66.2,28,148.264277715566,56.5085771947528,2,8
"172","88a9",6,"seed grass green","English","26","male","Greek",33359,"2","Naming transmission","0",10,"seed grass green",50,50,55,42,113,121,136.5,117.98,62.4,15.5,58.6,83.6933045356372,105.433609211947,8,13
"173","8m5n",5,"seed dark rose","Danish","31","female","Dansk",14990,"2","Naming transmission","1",14,"seed mørk rosa",50,50,80,53,291,297,372.2,327.55,278,75.2,19,168.421052631579,38.3451059535822,6,27
"174","8m5n",4,"seed grass green","Danish","31","female","Dansk",41838,"2","Naming transmission","1",14,"seed græsgrøn",50,50,43,48,110,115,136.5,117.98,62.4,21.5,52.6,116.090712742981,94.6383591219863,5,5
"175","8m5n",6,"seed ocean blue","Danish","31","female","Dansk",9122,"2","Naming transmission","1",14,"seed havblå",50,50,46,46,172,173,193.6,179.34,136.5,20.6,36.5,144.460028050491,85.2007469654528,1,0
"176","8m5n",5,"seed mustard","Danish","31","female","Dansk",10597,"2","Naming transmission","1",14,"seed sennepsgul",50,50,41,43,58,60,62.4,49.85,26,2.4,34,19.1235059760956,142.557651991614,2,2
"177","8osq",5,"seed grass green","Danish","38","female","Dansk",8739,"1","Pure transmission","0",11,"seed græsgrøn",50,50,64,37,114,108,136.5,117.98,62.4,28.5,45.6,153.887688984881,82.0439006836992,6,27
"178","8osq",5,"seed ocean blue","Danish","38","female","Dansk",12002,"1","Pure transmission","0",11,"seed havblå",50,50,62,76,196,198,193.6,179.34,136.5,-4.40000000000001,61.5,-30.8555399719496,143.557422969188,2,14
"179","8osq",5,"seed mustard","Danish","38","female","Dansk",7478,"1","Pure transmission","0",11,"seed sennepsgul",50,50,51,50,60,53,62.4,49.85,26,9.4,27,74.9003984063745,113.207547169811,7,1
"180","8osq",5,"seed dark rose","Danish","38","female","Dansk",21559,"1","Pure transmission","0",11,"seed mørk rosa",50,50,58,54,299,307,372.2,327.55,278,65.2,29,146.024636058231,58.5267406659939,8,4
"181","8v88",6,"seed ocean blue","Danish","37","female","Svensk",24877,"1","Pure transmission","0",0,"seed havblå",50,50,60,64,179.34,179,193.6,179.34,136.5,14.6,42.5,102.384291725105,99.2063492063492,0.340000000000003,4
"182","8v88",5,"seed grass green","Danish","37","female","Svensk",24717,"1","Pure transmission","0",0,"seed græsgrøn",50,50,60,61,117.98,113,136.5,117.98,62.4,23.5,50.6,126.889848812095,91.0399424253328,4.98,1
"183","8v88",6,"seed dark rose","Danish","37","female","Svensk",12311,"1","Pure transmission","0",0,"seed mørk rosa",50,50,60,65,327.55,327,372.2,327.55,278,45.2,49,101.231802911534,98.8900100908173,0.550000000000011,5
"184","8v88",6,"seed mustard","Danish","37","female","Svensk",9064,"1","Pure transmission","0",0,"seed sennepsgul",50,50,60,62,49.85,50,62.4,49.85,26,12.4,24,98.804780876494,100.62893081761,0.149999999999999,2
"185","8z38",6,"seed ocean blue","Danish","22","male","Dansk",18270,"2","Naming transmission","0",6,"seed havblå",50,50,40,39,185,187,193.6,179.34,136.5,6.59999999999999,50.5,46.2833099579243,117.880485527544,2,1
"186","8z38",4,"seed dark rose","Danish","22","male","Dansk",19165,"2","Naming transmission","0",6,"seed mørk rosa",50,50,58,82,309,291,372.2,327.55,278,81.2,13,181.858902575588,26.2361251261352,18,24
"187","8z38",6,"seed mustard","Danish","22","male","Dansk",6470,"2","Naming transmission","0",6,"seed sennepsgul",50,50,38,43,51,52,62.4,49.85,26,10.4,26,82.8685258964144,109.014675052411,1,5
"188","8z38",4,"seed grass green","Danish","22","male","Dansk",15010,"2","Naming transmission","0",6,"seed græsgrøn",50,50,40,59,109,107,136.5,117.98,62.4,29.5,44.6,159.287257019438,80.2446923353724,2,19
"189","93q5",2,"seed mustard","English","30","female","Ukrainian",26485,"2","Naming transmission","0",9,"seed mustard",50,50,42,55,50,45,62.4,49.85,26,17.4,19,138.645418326693,79.6645702306079,5,13
"190","93q5",2,"seed ocean blue","English","30","female","Ukrainian",22830,"2","Naming transmission","0",9,"seed ocean blue",50,50,57,77,186,189,193.6,179.34,136.5,4.59999999999999,52.5,32.258064516129,122.549019607843,3,20
"191","93q5",2,"seed grass green","English","30","female","Ukrainian",13019,"2","Naming transmission","0",9,"seed grass green",50,50,55,55,133,113,136.5,117.98,62.4,23.5,50.6,126.889848812095,91.0399424253328,20,0
"192","93q5",4,"seed dark rose","English","30","female","Ukrainian",9022,"2","Naming transmission","0",9,"seed dark rose",50,50,60,64,302,308,372.2,327.55,278,64.2,30,143.784994400896,60.5449041372351,6,4
"193","94an",0,"seed dark rose","Danish","26","female","Dansk",5545,"1","Pure transmission","2",4,"seed mørk rosa",50,50,50,27,326,311,372.2,327.55,278,61.2,33,137.066069428891,66.5993945509586,15,23
"194","94an",5,"seed grass green","Danish","26","female","Dansk",8734,"1","Pure transmission","2",4,"seed græsgrøn",50,50,66,69,124,126,136.5,117.98,62.4,10.5,63.6,56.695464362851,114.42965095358,2,3
"195","94an",5,"seed ocean blue","Danish","26","female","Dansk",21925,"1","Pure transmission","2",4,"seed havblå",50,50,63,60,180,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,0,3
"196","94an",3,"seed mustard","Danish","26","female","Dansk",22018,"1","Pure transmission","2",4,"seed sennepsgul",50,50,63,74,50,47,62.4,49.85,26,15.4,21,122.709163346614,88.0503144654088,3,11
"197","95ap",5,"seed ocean blue","Danish","25","male","dansk",10267,"1","Pure transmission","4",9,"seed havblå",50,50,59,66,179,179,193.6,179.34,136.5,14.6,42.5,102.384291725105,99.2063492063492,0,7
"198","95ap",5,"seed grass green","Danish","25","male","dansk",13482,"1","Pure transmission","4",9,"seed græsgrøn",50,50,61,58,129,118,136.5,117.98,62.4,18.5,55.6,99.8920086393089,100.035984166967,11,3
"199","95ap",5,"seed mustard","Danish","25","male","dansk",31088,"1","Pure transmission","4",9,"seed sennepsgul",50,50,54,61,55,53,62.4,49.85,26,9.4,27,74.9003984063745,113.207547169811,2,7
"200","95ap",4,"seed dark rose","Danish","25","male","dansk",29002,"1","Pure transmission","4",9,"seed mørk rosa",50,50,80,75,317,327,372.2,327.55,278,45.2,49,101.231802911534,98.8900100908173,10,5
"201","9hdc",4,"seed mustard","Danish","23","male","Dansk",22855,"2","Naming transmission","4",14,"seed sennepsgul",50,50,74,60,66,63,62.4,49.85,26,-0.600000000000001,37,-4.78087649402392,155.136268343815,3,14
"202","9hdc",2,"seed grass green","Danish","23","male","Dansk",14724,"2","Naming transmission","4",14,"seed græsgrøn",50,50,52,73,118,111,136.5,117.98,62.4,25.5,48.6,137.68898488121,87.4415257286794,7,21
"203","9hdc",5,"seed dark rose","Danish","23","male","Dansk",20652,"2","Naming transmission","4",14,"seed mørk rosa",50,50,77,56,299,309,372.2,327.55,278,63.2,31,141.545352743561,62.5630676084763,10,21
"204","9hdc",2,"seed ocean blue","Danish","23","male","Dansk",25978,"2","Naming transmission","4",14,"seed havblå",50,50,71,57,181,178,193.6,179.34,136.5,15.6,41.5,109.396914446003,96.8720821661998,3,14
"205","9lvh",6,"seed grass green","Danish","28","female","Dansk",2447,"2","Naming transmission","2",6,"seed græsgrøn",50,50,64,70,105,119,136.5,117.98,62.4,17.5,56.6,94.4924406047516,101.835192515293,14,6
"206","9lvh",5,"seed ocean blue","Danish","28","female","Dansk",12543,"2","Naming transmission","2",6,"seed havblå",50,50,57,48,178,183,193.6,179.34,136.5,10.6,46.5,74.3338008415147,108.543417366947,5,9
"207","9lvh",5,"seed dark rose","Danish","28","female","Dansk",11451,"2","Naming transmission","2",6,"seed mørk rosa",50,50,60,46,315,319,372.2,327.55,278,53.2,41,119.148936170213,82.744702320888,4,14
"208","9lvh",5,"seed mustard","Danish","28","female","Dansk",9299,"2","Naming transmission","2",6,"seed sennepsgul",50,50,65,70,46,40,62.4,49.85,26,22.4,14,178.486055776892,58.7002096436059,6,5
"209","9s0s",6,"seed ocean blue","Danish","41","male","Dansk",35502,"1","Pure transmission","0",13,"seed havblå",50,50,67,66,196,199,193.6,179.34,136.5,-5.40000000000001,62.5,-37.8681626928472,145.891690009337,3,1
"210","9s0s",5,"seed dark rose","Danish","41","male","Dansk",4888,"1","Pure transmission","0",13,"seed mørk rosa",50,50,52,84,298,296,372.2,327.55,278,76.2,18,170.660694288914,36.3269424823411,2,32
"211","9s0s",6,"seed mustard","Danish","41","male","Dansk",3311,"1","Pure transmission","0",13,"seed sennepsgul",50,50,43,34,56,59,62.4,49.85,26,3.4,33,27.0916334661355,138.364779874214,3,9
"212","9s0s",6,"seed grass green","Danish","41","male","Dansk",13083,"1","Pure transmission","0",13,"seed græsgrøn",50,50,38,42,115,109,136.5,117.98,62.4,27.5,46.6,148.488120950324,83.8431090320259,6,4
"213","9zhk",4,"seed ocean blue","Danish","41","female","Dansk",30489,"2","Naming transmission","0",8,"seed havblå",50,50,43,42,186,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,2,1
"214","9zhk",4,"seed dark rose","Danish","41","female","Dansk",19033,"2","Naming transmission","0",8,"seed mørk rosa",50,50,63,53,292,295,372.2,327.55,278,77.2,17,172.900335946249,34.3087790110999,3,10
"215","9zhk",3,"seed mustard","Danish","41","female","Dansk",56869,"2","Naming transmission","0",8,"seed sennepsgul",50,50,63,56,52,56,62.4,49.85,26,6.4,30,50.996015936255,125.786163522013,4,7
"216","9zhk",3,"seed grass green","Danish","41","female","Dansk",90005,"2","Naming transmission","0",8,"seed græsgrøn",50,50,48,63,107,127,136.5,117.98,62.4,9.5,64.6,51.2958963282938,116.228859301907,20,15
"217","a4we",5,"seed mustard","Danish","23","male","Dansk",28053,"2","Naming transmission","1",6,"seed sennepsgul",50,50,39,41,49,46,62.4,49.85,26,16.4,20,130.677290836653,83.8574423480084,3,2
"218","a4we",6,"seed grass green","Danish","23","male","Dansk",4917,"2","Naming transmission","1",6,"seed græsgrøn",50,50,59,59,99,107,136.5,117.98,62.4,29.5,44.6,159.287257019438,80.2446923353724,8,0
"219","a4we",6,"seed dark rose","Danish","23","male","Dansk",10633,"2","Naming transmission","1",6,"seed mørk rosa",50,50,62,63,330,334,372.2,327.55,278,38.2,56,85.5543113101904,113.017154389506,4,1
"220","a4we",6,"seed ocean blue","Danish","23","male","Dansk",10044,"2","Naming transmission","1",6,"seed havblå",50,50,50,44,179,181,193.6,179.34,136.5,12.6,44.5,88.35904628331,103.874883286648,2,6
"221","a5pw",3,"seed ocean blue","Danish","29","male","dansk",29375,"1","Pure transmission","2",1,"seed havblå",50,50,60,46,179,179,193.6,179.34,136.5,14.6,42.5,102.384291725105,99.2063492063492,0,14
"222","a5pw",2,"seed mustard","Danish","29","male","dansk",6813,"1","Pure transmission","2",1,"seed sennepsgul",50,50,63,83,52,49,62.4,49.85,26,13.4,23,106.772908366534,96.4360587002096,3,20
"223","a5pw",4,"seed dark rose","Danish","29","male","dansk",12597,"1","Pure transmission","2",1,"seed mørk rosa",50,50,51,58,332,326,372.2,327.55,278,46.2,48,103.471444568869,96.8718466195762,6,7
"224","a5pw",3,"seed grass green","Danish","29","male","dansk",9517,"1","Pure transmission","2",1,"seed græsgrøn",50,50,67,55,119,109,136.5,117.98,62.4,27.5,46.6,148.488120950324,83.8431090320259,10,12
"225","a5ul",5,"seed dark rose","Danish","27","male","Dansk",17107,"2","Naming transmission","1",7,"seed mørk rosa",50,50,63,61,334,325,372.2,327.55,278,47.2,47,105.711086226204,94.853683148335,9,2
"226","a5ul",5,"seed grass green","Danish","27","male","Dansk",13432,"2","Naming transmission","1",7,"seed græsgrøn",50,50,59,53,107,129,136.5,117.98,62.4,7.5,66.6,40.4967602591793,119.827275998561,22,6
"227","a5ul",3,"seed ocean blue","Danish","27","male","Dansk",23808,"2","Naming transmission","1",7,"seed havblå",50,50,44,65,181,174,193.6,179.34,136.5,19.6,37.5,137.447405329593,87.5350140056022,7,21
"228","a5ul",6,"seed mustard","Danish","27","male","Dansk",10845,"2","Naming transmission","1",7,"seed sennepsgul",50,50,41,38,46,49,62.4,49.85,26,13.4,23,106.772908366534,96.4360587002096,3,3
"229","akcp",5,"seed mustard","Danish","36","female","dansk",46656,"1","Pure transmission","1",13,"seed sennepsgul",50,50,57,76,37,40,62.4,49.85,26,22.4,14,178.486055776892,58.7002096436059,3,19
"230","akcp",6,"seed dark rose","Danish","36","female","dansk",3517,"1","Pure transmission","1",13,"seed mørk rosa",50,50,58,67,324,318,372.2,327.55,278,54.2,40,121.388577827548,80.7265388496468,6,9
"231","akcp",4,"seed ocean blue","Danish","36","female","dansk",12950,"1","Pure transmission","1",13,"seed havblå",50,50,75,60,184,183,193.6,179.34,136.5,10.6,46.5,74.3338008415147,108.543417366947,1,15
"232","akcp",5,"seed grass green","Danish","36","female","dansk",33165,"1","Pure transmission","1",13,"seed græsgrøn",50,50,58,66,137,135,136.5,117.98,62.4,1.5,72.6,8.09935205183585,130.622526088521,2,8
"233","akyt",6,"seed ocean blue","Danish","24","female","Dansk",15174,"1","Pure transmission","4",7,"seed havblå",50,50,49,67,180,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,0,18
"234","akyt",5,"seed grass green","Danish","24","female","Dansk",13461,"1","Pure transmission","4",7,"seed græsgrøn",50,50,69,65,112,131,136.5,117.98,62.4,5.5,68.6,29.6976241900648,123.425692695214,19,4
"235","akyt",5,"seed dark rose","Danish","24","female","Dansk",7603,"1","Pure transmission","4",7,"seed mørk rosa",50,50,66,74,329,318,372.2,327.55,278,54.2,40,121.388577827548,80.7265388496468,11,8
"236","akyt",4,"seed mustard","Danish","24","female","Dansk",28221,"1","Pure transmission","4",7,"seed sennepsgul",50,50,69,60,57,56,62.4,49.85,26,6.4,30,50.996015936255,125.786163522013,1,9
"237","amtj",4,"seed dark rose","Danish","26","female","Dansk",10431,"2","Naming transmission","2",11,"seed mørk rosa",50,50,59,61,311,311,372.2,327.55,278,61.2,33,137.066069428891,66.5993945509586,0,2
"238","amtj",4,"seed mustard","Danish","26","female","Dansk",14569,"2","Naming transmission","2",11,"seed sennepsgul",50,50,59,61,37,38,62.4,49.85,26,24.4,12,194.422310756972,50.314465408805,1,2
"239","amtj",3,"seed ocean blue","Danish","26","female","Dansk",41977,"2","Naming transmission","2",11,"seed havblå",50,50,82,87,183,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,1,5
"240","amtj",4,"seed grass green","Danish","26","female","Dansk",21946,"2","Naming transmission","2",11,"seed græsgrøn",50,50,63,68,129,129,136.5,117.98,62.4,7.5,66.6,40.4967602591793,119.827275998561,0,5
"241","bf6y",5,"seed mustard","English","25","male","Dansk",46273,"1","Pure transmission","0",12,"seed mustard",50,50,48,66,15,23,62.4,49.85,26,39.4,-3,313.94422310757,-12.5786163522013,8,18
"242","bf6y",5,"seed dark rose","English","25","male","Dansk",4620,"1","Pure transmission","0",12,"seed dark rose",50,50,84,61,297,302,372.2,327.55,278,70.2,24,157.222844344905,48.4359233097881,5,23
"243","bf6y",5,"seed grass green","English","25","male","Dansk",17144,"1","Pure transmission","0",12,"seed grass green",50,50,77,71,131,108,136.5,117.98,62.4,28.5,45.6,153.887688984881,82.0439006836992,23,6
"244","bf6y",5,"seed ocean blue","English","25","male","Dansk",18089,"1","Pure transmission","0",12,"seed ocean blue",50,50,80,78,200,201,193.6,179.34,136.5,-7.40000000000001,64.5,-51.8934081346424,150.560224089636,1,2
"245","bl5p",5,"seed dark rose","Danish","28","male","Dansk",28439,"2","Naming transmission","2",14,"seed mørk rosa",50,50,55,59,315,311,372.2,327.55,278,61.2,33,137.066069428891,66.5993945509586,4,4
"246","bl5p",5,"seed ocean blue","Danish","28","male","Dansk",18585,"2","Naming transmission","2",14,"seed havblå",50,50,73,72,184,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,0,1
"247","bl5p",6,"seed mustard","Danish","28","male","Dansk",17125,"2","Naming transmission","2",14,"seed sennepsgul",50,50,65,56,41,42,62.4,49.85,26,20.4,16,162.549800796813,67.0859538784067,1,9
"248","bl5p",5,"seed grass green","Danish","28","male","Dansk",33029,"2","Naming transmission","2",14,"seed græsgrøn",50,50,77,80,135,118,136.5,117.98,62.4,18.5,55.6,99.8920086393089,100.035984166967,17,3
"249","br1u",6,"seed mustard","Danish","26","male","dansk",26423,"1","Pure transmission","0",5,"seed sennepsgul",50,50,60,72,60,63,62.4,49.85,26,-0.600000000000001,37,-4.78087649402392,155.136268343815,3,12
"250","br1u",4,"seed ocean blue","Danish","26","male","dansk",37512,"1","Pure transmission","0",5,"seed havblå",50,50,51,52,193,191,193.6,179.34,136.5,2.59999999999999,54.5,18.2328190743338,127.217553688142,2,1
"251","br1u",6,"seed grass green","Danish","26","male","dansk",7425,"1","Pure transmission","0",5,"seed græsgrøn",50,50,60,66,93,92,136.5,117.98,62.4,44.5,29.6,240.280777537797,53.2565671104714,1,6
"252","br1u",2,"seed dark rose","Danish","26","male","dansk",19915,"1","Pure transmission","0",5,"seed mørk rosa",50,50,64,60,325,325,372.2,327.55,278,47.2,47,105.711086226204,94.853683148335,0,4
"253","chvc",6,"seed grass green","English","19","male","Polish",30672,"1","Pure transmission","0",11,"seed grass green",50,50,91,77,133,131,136.5,117.98,62.4,5.5,68.6,29.6976241900648,123.425692695214,2,14
"254","chvc",4,"seed dark rose","English","19","male","Polish",41730,"1","Pure transmission","0",11,"seed dark rose",50,50,57,84,315,297,372.2,327.55,278,75.2,19,168.421052631579,38.3451059535822,18,27
"255","chvc",6,"seed mustard","English","19","male","Polish",6123,"1","Pure transmission","0",11,"seed mustard",50,50,46,48,17,15,62.4,49.85,26,47.4,-11,377.689243027888,-46.1215932914046,2,2
"256","chvc",5,"seed ocean blue","English","19","male","Polish",15262,"1","Pure transmission","0",11,"seed ocean blue",50,50,58,80,197,200,193.6,179.34,136.5,-6.40000000000001,63.5,-44.8807854137448,148.225957049486,3,22
"257","ct5u",4,"seed mustard","Danish","21","male","Dansk",20158,"1","Pure transmission","2",2,"seed sennepsgul",50,50,83,66,49,49,62.4,49.85,26,13.4,23,106.772908366534,96.4360587002096,0,17
"258","ct5u",5,"seed grass green","Danish","21","male","Dansk",6750,"1","Pure transmission","2",2,"seed græsgrøn",50,50,55,40,109,112,136.5,117.98,62.4,24.5,49.6,132.289416846652,89.2407340770061,3,15
"259","ct5u",6,"seed dark rose","Danish","21","male","Dansk",24458,"1","Pure transmission","2",2,"seed mørk rosa",50,50,58,54,326,325,372.2,327.55,278,47.2,47,105.711086226204,94.853683148335,1,4
"260","ct5u",5,"seed ocean blue","Danish","21","male","Dansk",20141,"1","Pure transmission","2",2,"seed havblå",50,50,46,67,179,182,193.6,179.34,136.5,11.6,45.5,81.3464235624124,106.209150326797,3,21
"261","d201",5,"seed ocean blue","Danish","25","male","Dansk",9836,"1","Pure transmission","4",3,"seed havblå",50,50,55,55,180,179,193.6,179.34,136.5,14.6,42.5,102.384291725105,99.2063492063492,1,0
"262","d201",5,"seed mustard","Danish","25","male","Dansk",17417,"1","Pure transmission","4",3,"seed sennepsgul",50,50,59,51,49,53,62.4,49.85,26,9.4,27,74.9003984063745,113.207547169811,4,8
"263","d201",5,"seed dark rose","Danish","25","male","Dansk",33724,"1","Pure transmission","4",3,"seed mørk rosa",50,50,55,50,329,329,372.2,327.55,278,43.2,51,96.7525195968645,102.9263370333,0,5
"264","d201",3,"seed grass green","Danish","25","male","Dansk",69460,"1","Pure transmission","4",3,"seed græsgrøn",50,50,79,71,139,127,136.5,117.98,62.4,9.5,64.6,51.2958963282938,116.228859301907,12,8
"265","db8f",5,"seed mustard","Danish","22","male","Dansk",30120,"1","Pure transmission","2",6,"seed sennepsgul",50,50,62,53,47,43,62.4,49.85,26,19.4,17,154.581673306773,71.2788259958071,4,9
"266","db8f",5,"seed ocean blue","Danish","22","male","Dansk",7910,"1","Pure transmission","2",6,"seed havblå",50,50,56,53,179,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,1,3
"267","db8f",4,"seed dark rose","Danish","22","male","Dansk",38006,"1","Pure transmission","2",6,"seed mørk rosa",50,50,29,36,306,304,372.2,327.55,278,68.2,26,152.743561030235,52.4722502522704,2,7
"268","db8f",4,"seed grass green","Danish","22","male","Dansk",32055,"1","Pure transmission","2",6,"seed græsgrøn",50,50,61,75,121,135,136.5,117.98,62.4,1.5,72.6,8.09935205183585,130.622526088521,14,14
"269","denc",5,"seed grass green","Danish","25","female","Dansk",12797,"1","Pure transmission","4",14,"seed græsgrøn",50,50,62,74,135,139,136.5,117.98,62.4,-2.5,76.6,-13.4989200863931,137.819359481828,4,12
"270","denc",5,"seed ocean blue","Danish","25","female","Dansk",9398,"1","Pure transmission","4",14,"seed havblå",50,50,54,60,186,186,193.6,179.34,136.5,7.59999999999999,49.5,53.2959326788219,115.546218487395,0,6
"271","denc",5,"seed dark rose","Danish","25","female","Dansk",8938,"1","Pure transmission","4",14,"seed mørk rosa",50,50,58,92,305,297,372.2,327.55,278,75.2,19,168.421052631579,38.3451059535822,8,34
"272","denc",5,"seed mustard","Danish","25","female","Dansk",9984,"1","Pure transmission","4",14,"seed sennepsgul",50,50,49,43,61,61,62.4,49.85,26,1.4,35,11.1553784860558,146.750524109015,0,6
"273","dt6w",6,"seed dark rose","English","48","female","portuguese",18218,"2","Naming transmission","1",0,"seed dark rose",50,50,60,58,327.55,328,372.2,327.55,278,44.2,50,98.9921612541994,100.908173562058,0.449999999999989,2
"274","dt6w",6,"seed grass green","English","48","female","portuguese",3504,"2","Naming transmission","1",0,"seed grass green",50,50,60,60,117.98,113,136.5,117.98,62.4,23.5,50.6,126.889848812095,91.0399424253328,4.98,0
"275","dt6w",6,"seed mustard","English","48","female","portuguese",42889,"2","Naming transmission","1",0,"seed mustard",50,50,60,66,49.85,52,62.4,49.85,26,10.4,26,82.8685258964144,109.014675052411,2.15,6
"276","dt6w",6,"seed ocean blue","English","48","female","portuguese",9188,"2","Naming transmission","1",0,"seed ocean blue",50,50,60,68,179.34,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,4.66,8
"277","dxfn",4,"seed grass green","Danish","22","female","Dansk",14205,"1","Pure transmission","2",3,"seed græsgrøn",50,50,40,66,112,124,136.5,117.98,62.4,12.5,61.6,67.4946004319655,110.831234256927,12,26
"278","dxfn",6,"seed mustard","Danish","22","female","Dansk",4654,"1","Pure transmission","2",3,"seed sennepsgul",50,50,66,63,49,50,62.4,49.85,26,12.4,24,98.804780876494,100.62893081761,1,3
"279","dxfn",6,"seed dark rose","Danish","22","female","Dansk",11131,"1","Pure transmission","2",3,"seed mørk rosa",50,50,54,50,325,326,372.2,327.55,278,46.2,48,103.471444568869,96.8718466195762,1,4
"280","dxfn",5,"seed ocean blue","Danish","22","female","Dansk",19399,"1","Pure transmission","2",3,"seed havblå",50,50,67,63,182,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,2,4
"281","e913",6,"seed dark rose","Danish","23","male","Dansk",7399,"1","Pure transmission","1",8,"seed mørk rosa",50,50,64,87,295,292,372.2,327.55,278,80.2,14,179.619260918253,28.2542885973764,3,23
"282","e913",5,"seed mustard","Danish","23","male","Dansk",21870,"1","Pure transmission","1",8,"seed sennepsgul",50,50,62,57,42,43,62.4,49.85,26,19.4,17,154.581673306773,71.2788259958071,1,5
"283","e913",4,"seed grass green","Danish","23","male","Dansk",18098,"1","Pure transmission","1",8,"seed græsgrøn",50,50,69,69,135,138,136.5,117.98,62.4,-1.5,75.6,-8.09935205183585,136.020151133501,3,0
"284","e913",2,"seed ocean blue","Danish","23","male","Dansk",76250,"1","Pure transmission","1",8,"seed havblå",50,50,75,69,184,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,4,6
"285","epfu",6,"seed dark rose","Danish","23","female","dansk",15860,"2","Naming transmission","4",10,"seed mørk rosa",50,50,55,58,309,310,372.2,327.55,278,62.2,32,139.305711086226,64.5812310797174,1,3
"286","epfu",6,"seed mustard","Danish","23","female","dansk",15049,"2","Naming transmission","4",10,"seed sennepsgul",50,50,45,47,68,70,62.4,49.85,26,-7.6,44,-60.5577689243028,184.486373165618,2,2
"287","epfu",4,"seed grass green","Danish","23","female","dansk",38906,"2","Naming transmission","4",10,"seed græsgrøn",50,50,63,67,97,109,136.5,117.98,62.4,27.5,46.6,148.488120950324,83.8431090320259,12,4
"288","epfu",6,"seed ocean blue","Danish","23","female","dansk",18651,"2","Naming transmission","4",10,"seed havblå",50,50,69,69,187,185,193.6,179.34,136.5,8.59999999999999,48.5,60.3085553997195,113.211951447246,2,0
"289","epj1",5,"seed grass green","English","43","male","spanish",8019,"2","Naming transmission","0",6,"seed grass green",50,50,66,53,138,136,136.5,117.98,62.4,0.5,73.6,2.69978401727862,132.421734436848,2,13
"290","epj1",4,"seed dark rose","English","43","male","spanish",17631,"2","Naming transmission","0",6,"seed dark rose",50,50,65,74,309,311,372.2,327.55,278,61.2,33,137.066069428891,66.5993945509586,2,9
"291","epj1",4,"seed mustard","English","43","male","spanish",7836,"2","Naming transmission","0",6,"seed mustard",50,50,55,55,46,49,62.4,49.85,26,13.4,23,106.772908366534,96.4360587002096,3,0
"292","epj1",5,"seed ocean blue","English","43","male","spanish",12069,"2","Naming transmission","0",6,"seed ocean blue",50,50,73,79,186,188,193.6,179.34,136.5,5.59999999999999,51.5,39.2706872370266,120.214752567694,2,6
"293","eqex",4,"seed mustard","English","29","female","GermanAfrikaans",90002,"2","Naming transmission","0",1,"seed mustard",50,50,72,69,48,43,62.4,49.85,26,19.4,17,154.581673306773,71.2788259958071,5,3
"294","eqex",4,"seed dark rose","English","29","female","GermanAfrikaans",9420,"2","Naming transmission","0",1,"seed dark rose",50,50,52,46,321,328,372.2,327.55,278,44.2,50,98.9921612541994,100.908173562058,7,6
"295","eqex",4,"seed grass green","English","29","female","GermanAfrikaans",21095,"2","Naming transmission","0",1,"seed grass green",50,50,43,50,133,136,136.5,117.98,62.4,0.5,73.6,2.69978401727862,132.421734436848,3,7
"296","eqex",4,"seed ocean blue","English","29","female","GermanAfrikaans",19758,"2","Naming transmission","0",1,"seed ocean blue",50,50,71,66,180,182,193.6,179.34,136.5,11.6,45.5,81.3464235624124,106.209150326797,2,5
