"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Focal","Seed","Secondary_focal","Dif","Dif_2","Rel_dif","Rel_dif_2","Accuracy_hue","Accuracy_sat"
"96","4h26",5,"seed ocean blue","English","25","female","English",26555,"1","Pure transmission","0",5,"seed ocean blue",50,50,73,62,186,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,2,11
"97","4htf",6,"seed dark rose","Danish","30","male","Fransk",51717,"1","Pure transmission","2",12,"seed mørk rosa",50,50,39,48,300,294,372.2,327.55,278,78.2,16,175.139977603584,32.2906155398587,6,9
"98","4htf",6,"seed grass green","Danish","30","male","Fransk",44889,"1","Pure transmission","2",12,"seed græsgrøn",50,50,64,73,102,102,136.5,117.98,62.4,34.5,39.6,186.285097192225,71.2486505937387,0,9
"99","4htf",6,"seed mustard","Danish","30","male","Fransk",38536,"1","Pure transmission","2",12,"seed sennepsgul",50,50,61,66,49,50,62.4,49.85,26,12.4,24,98.804780876494,100.62893081761,1,5
"100","4htf",3,"seed ocean blue","Danish","30","male","Fransk",44227,"1","Pure transmission","2",12,"seed havblå",50,50,78,70,183,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,3,8
"101","4l9m",5,"seed mustard","Danish","24","female","Dansk",12728,"1","Pure transmission","4",11,"seed sennepsgul",50,50,59,48,55,57,62.4,49.85,26,5.4,31,43.0278884462151,129.979035639413,2,11
"102","4l9m",5,"seed ocean blue","Danish","24","female","Dansk",20558,"1","Pure transmission","4",11,"seed havblå",50,50,71,61,191,188,193.6,179.34,136.5,5.59999999999999,51.5,39.2706872370266,120.214752567694,3,10
"103","4l9m",4,"seed dark rose","Danish","24","female","Dansk",12648,"1","Pure transmission","4",11,"seed mørk rosa",50,50,63,56,328,315,372.2,327.55,278,57.2,37,128.107502799552,74.6720484359233,13,7
"104","4l9m",6,"seed grass green","Danish","24","female","Dansk",15182,"1","Pure transmission","4",11,"seed græsgrøn",50,50,53,52,124,122,136.5,117.98,62.4,14.5,59.6,78.2937365010799,107.232817560273,2,1
"105","4w6c",4,"seed dark rose","Danish","30","male","Dansk",36235,"2","Naming transmission","3",1,"seed mørk rosa",50,50,68,66,325,327,372.2,327.55,278,45.2,49,101.231802911534,98.8900100908173,2,2
"106","4w6c",5,"seed mustard","Danish","30","male","Dansk",10056,"2","Naming transmission","3",1,"seed sennepsgul",50,50,44,40,51,53,62.4,49.85,26,9.4,27,74.9003984063745,113.207547169811,2,4
"107","4w6c",4,"seed ocean blue","Danish","30","male","Dansk",28032,"2","Naming transmission","3",1,"seed havblå",50,50,69,70,180,179,193.6,179.34,136.5,14.6,42.5,102.384291725105,99.2063492063492,1,1
"108","4w6c",3,"seed grass green","Danish","30","male","Dansk",32719,"2","Naming transmission","3",1,"seed græsgrøn",50,50,55,53,132,129,136.5,117.98,62.4,7.5,66.6,40.4967602591793,119.827275998561,3,2
"109","5386",5,"seed dark rose","Danish","26","female","DK",3988,"1","Pure transmission","1",6,"seed mørk rosa",50,50,43,45,306,300,372.2,327.55,278,72.2,22,161.702127659575,44.3995963673057,6,2
"110","5386",4,"seed mustard","Danish","26","female","DK",14561,"1","Pure transmission","1",6,"seed sennepsgul",50,50,65,52,44,43,62.4,49.85,26,19.4,17,154.581673306773,71.2788259958071,1,13
"111","5386",3,"seed ocean blue","Danish","26","female","DK",7237,"1","Pure transmission","1",6,"seed havblå",50,50,75,65,177,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,7,10
"112","5386",3,"seed grass green","Danish","26","female","DK",6154,"1","Pure transmission","1",6,"seed græsgrøn",50,50,64,64,98,126,136.5,117.98,62.4,10.5,63.6,56.695464362851,114.42965095358,28,0
"113","59x7",5,"seed dark rose","Danish","23","male","dansk",4662,"1","Pure transmission","3",0,"seed mørk rosa",50,50,60,65,327.55,325,372.2,327.55,278,47.2,47,105.711086226204,94.853683148335,2.55000000000001,5
"114","59x7",4,"seed ocean blue","Danish","23","male","dansk",34196,"1","Pure transmission","3",0,"seed havblå",50,50,60,85,179.34,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,4.66,25
"115","59x7",6,"seed mustard","Danish","23","male","dansk",7672,"1","Pure transmission","3",0,"seed sennepsgul",50,50,60,65,49.85,47,62.4,49.85,26,15.4,21,122.709163346614,88.0503144654088,2.85,5
"116","59x7",5,"seed grass green","Danish","23","male","dansk",6590,"1","Pure transmission","3",0,"seed græsgrøn",50,50,60,59,117.98,129,136.5,117.98,62.4,7.5,66.6,40.4967602591793,119.827275998561,11.02,1
"117","5fq9",4,"seed mustard","English","30","male","Lithuanian",55187,"1","Pure transmission","0",10,"seed mustard",50,50,53,46,19,17,62.4,49.85,26,45.4,-9,361.752988047809,-37.7358490566038,2,7
"118","5fq9",3,"seed ocean blue","English","30","male","Lithuanian",22920,"1","Pure transmission","0",10,"seed ocean blue",50,50,75,58,195,197,193.6,179.34,136.5,-3.40000000000001,60.5,-23.8429172510519,141.223155929038,2,17
"119","5fq9",3,"seed grass green","English","30","male","Lithuanian",9638,"1","Pure transmission","0",10,"seed grass green",50,50,77,91,130,133,136.5,117.98,62.4,3.5,70.6,18.8984881209503,127.024109391868,3,14
"120","5fq9",3,"seed dark rose","English","30","male","Lithuanian",6550,"1","Pure transmission","0",10,"seed dark rose",50,50,60,57,308,315,372.2,327.55,278,57.2,37,128.107502799552,74.6720484359233,7,3
"121","5xno",3,"seed dark rose","Danish","39","female","dansk",13312,"1","Pure transmission","1",12,"seed mørk rosa",50,50,61,58,316,324,372.2,327.55,278,48.2,46,107.950727883539,92.8355196770938,8,3
"122","5xno",5,"seed mustard","Danish","39","female","dansk",19099,"1","Pure transmission","1",12,"seed sennepsgul",50,50,59,57,35,37,62.4,49.85,26,25.4,11,202.390438247012,46.1215932914046,2,2
"123","5xno",5,"seed ocean blue","Danish","39","female","dansk",23960,"1","Pure transmission","1",12,"seed havblå",50,50,82,75,182,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,2,7
"124","5xno",5,"seed grass green","Danish","39","female","dansk",6245,"1","Pure transmission","1",12,"seed græsgrøn",50,50,74,58,142,137,136.5,117.98,62.4,-0.5,74.6,-2.69978401727862,134.220942785174,5,16
"125","629d",5,"seed ocean blue","Danish","26","male","Dansk",14697,"1","Pure transmission","1",14,"seed havblå",50,50,60,54,183,183,193.6,179.34,136.5,10.6,46.5,74.3338008415147,108.543417366947,0,6
"126","629d",5,"seed grass green","Danish","26","male","Dansk",27245,"1","Pure transmission","1",14,"seed græsgrøn",50,50,66,62,135,140,136.5,117.98,62.4,-3.5,77.6,-18.8984881209503,139.618567830155,5,4
"127","629d",5,"seed mustard","Danish","26","male","Dansk",4083,"1","Pure transmission","1",14,"seed sennepsgul",50,50,76,76,40,44,62.4,49.85,26,18.4,18,146.613545816733,75.4716981132075,4,0
"128","629d",5,"seed dark rose","Danish","26","male","Dansk",13288,"1","Pure transmission","1",14,"seed mørk rosa",50,50,67,60,318,311,372.2,327.55,278,61.2,33,137.066069428891,66.5993945509586,7,7
"129","6606",6,"seed dark rose","Danish","23","male","DanskEngelsk",3027,"1","Pure transmission","0",12,"seed mørk rosa",50,50,54,52,307,298,372.2,327.55,278,74.2,20,166.181410974244,40.3632694248234,9,2
"130","6606",6,"seed ocean blue","Danish","23","male","DanskEngelsk",7198,"1","Pure transmission","0",12,"seed havblå",50,50,76,67,198,196,193.6,179.34,136.5,-2.40000000000001,59.5,-16.8302945301543,138.888888888889,2,9
"131","6606",6,"seed grass green","Danish","23","male","DanskEngelsk",5726,"1","Pure transmission","0",12,"seed græsgrøn",50,50,37,38,108,115,136.5,117.98,62.4,21.5,52.6,116.090712742981,94.6383591219863,7,1
"132","6606",5,"seed mustard","Danish","23","male","DanskEngelsk",16909,"1","Pure transmission","0",12,"seed sennepsgul",50,50,50,43,53,56,62.4,49.85,26,6.4,30,50.996015936255,125.786163522013,3,7
"133","664l",4,"seed grass green","English","23","female","Polish",15744,"1","Pure transmission","0",2,"seed grass green",50,50,51,52,113,118,136.5,117.98,62.4,18.5,55.6,99.8920086393089,100.035984166967,5,1
"134","664l",3,"seed mustard","English","23","female","Polish",3138,"1","Pure transmission","0",2,"seed mustard",50,50,62,78,39,38,62.4,49.85,26,24.4,12,194.422310756972,50.314465408805,1,16
"135","664l",4,"seed ocean blue","English","23","female","Polish",9422,"1","Pure transmission","0",2,"seed ocean blue",50,50,70,70,181,183,193.6,179.34,136.5,10.6,46.5,74.3338008415147,108.543417366947,2,0
"136","664l",5,"seed dark rose","English","23","female","Polish",17452,"1","Pure transmission","0",2,"seed dark rose",50,50,62,65,310,311,372.2,327.55,278,61.2,33,137.066069428891,66.5993945509586,1,3
"137","6bgr",5,"seed mustard","Danish","25","female","Dansk",6463,"1","Pure transmission","4",13,"seed sennepsgul",50,50,49,49,59,61,62.4,49.85,26,1.4,35,11.1553784860558,146.750524109015,2,0
"138","6bgr",4,"seed grass green","Danish","25","female","Dansk",13460,"1","Pure transmission","4",13,"seed græsgrøn",50,50,57,62,133,135,136.5,117.98,62.4,1.5,72.6,8.09935205183585,130.622526088521,2,5
"139","6bgr",5,"seed dark rose","Danish","25","female","Dansk",15066,"1","Pure transmission","4",13,"seed mørk rosa",50,50,50,58,315,305,372.2,327.55,278,67.2,27,150.5039193729,54.4904137235116,10,8
"140","6bgr",5,"seed ocean blue","Danish","25","female","Dansk",12671,"1","Pure transmission","4",13,"seed havblå",50,50,53,54,185,186,193.6,179.34,136.5,7.59999999999999,49.5,53.2959326788219,115.546218487395,1,1
"141","6d65",5,"seed dark rose","Danish","32","female","dansk",20358,"1","Pure transmission","1",11,"seed mørk rosa",50,50,60,61,312,316,372.2,327.55,278,56.2,38,125.867861142217,76.6902119071645,4,1
"142","6d65",5,"seed mustard","Danish","32","female","dansk",45668,"1","Pure transmission","1",11,"seed sennepsgul",50,50,58,59,37,35,62.4,49.85,26,27.4,9,218.326693227092,37.7358490566038,2,1
"143","6d65",5,"seed ocean blue","Danish","32","female","dansk",22529,"1","Pure transmission","1",11,"seed havblå",50,50,77,82,180,182,193.6,179.34,136.5,11.6,45.5,81.3464235624124,106.209150326797,2,5
"144","6d65",5,"seed grass green","Danish","32","female","dansk",43948,"1","Pure transmission","1",11,"seed græsgrøn",50,50,73,74,143,142,136.5,117.98,62.4,-5.5,79.6,-29.6976241900648,143.216984526808,1,1
"145","6g9f",5,"seed dark rose","Danish","23","female","Dansk",25541,"2","Naming transmission","4",1,"seed mørk rosa",50,50,47,47,328,321,372.2,327.55,278,51.2,43,114.669652855543,86.7810292633703,7,0
"146","6g9f",4,"seed ocean blue","Danish","23","female","Dansk",20368,"2","Naming transmission","4",1,"seed havblå",50,50,73,88,182,184,193.6,179.34,136.5,9.59999999999999,47.5,67.3211781206171,110.877684407096,2,15
"147","6g9f",6,"seed mustard","Danish","23","female","Dansk",10334,"2","Naming transmission","4",1,"seed sennepsgul",50,50,50,45,53,55,62.4,49.85,26,7.4,29,58.9641434262948,121.593291404612,2,5
"148","6g9f",5,"seed grass green","Danish","23","female","Dansk",11847,"2","Naming transmission","4",1,"seed græsgrøn",50,50,66,62,120,112,136.5,117.98,62.4,24.5,49.6,132.289416846652,89.2407340770061,8,4
"149","6w76",4,"seed grass green","Danish","40","male","Dansk",29023,"1","Pure transmission","0",8,"seed græsgrøn",50,50,74,68,132,113,136.5,117.98,62.4,23.5,50.6,126.889848812095,91.0399424253328,19,6
"150","6w76",4,"seed ocean blue","Danish","40","male","Dansk",8931,"1","Pure transmission","0",8,"seed havblå",50,50,65,62,194,193,193.6,179.34,136.5,0.599999999999994,56.5,4.20757363253853,131.886087768441,1,3
"151","6w76",4,"seed dark rose","Danish","40","male","Dansk",21994,"1","Pure transmission","0",8,"seed mørk rosa",50,50,90,80,293,295,372.2,327.55,278,77.2,17,172.900335946249,34.3087790110999,2,10
"152","6w76",4,"seed mustard","Danish","40","male","Dansk",36592,"1","Pure transmission","0",8,"seed sennepsgul",50,50,68,64,58,55,62.4,49.85,26,7.4,29,58.9641434262948,121.593291404612,3,4
